[ПЗПІ-24]
АлСрД	Алгоритми та структури даних : Лк (26) - ПЗПІ-24-4;ПЗПІ-24-5;ПЗПІ-24-6;ПЗПІ-24-7;ПЗПІи-24-1, Валенда Н. А.: Пз (6) - ПЗПІ-24-4;ПЗПІи-24-1, Олійник О. О.: Пз (6) - ПЗПІ-24-5, Олійник О. О.: Пз (6) - ПЗПІ-24-6, Валенда Н. А.: Пз (6) - ПЗПІ-24-7, Олійник О. О.: Лб (20) - ПЗПІ-24-4;ПЗПІи-24-1, Олійник О. О.: Лб (20) - ПЗПІ-24-5, Олійник О. О.: Лб (20) - ПЗПІ-24-6, Валенда Н. А.: Лб (20) - ПЗПІ-24-7, Олійник О. О.:
АтСД	Алгоритми та структури даних (англ.) : Лк (26) - ПЗПІ-24-1;ПЗПІ-24-3;ПЗПІ-24-2, Бабій А. С.: Пз (6) - ПЗПІ-24-1, Бабій А. С.: Пз (6) - ПЗПІ-24-2, Саманцов О. О.: Пз (6) - ПЗПІ-24-3, Саманцов О. О.: Лб (20) - ПЗПІ-24-1, Бабій А. С.: Лб (20) - ПЗПІ-24-2, Саманцов О. О.: Лб (20) - ПЗПІ-24-3, Саманцов О. О.:
ВМ	Вища математика : Лк (40) - ПЗПІ-24-4;ПЗПІ-24-5;ПЗПІ-24-6;ПЗПІ-24-7;ПЗПІи-24-1, Рибалко А. П.: Пз (38) - ПЗПІ-24-4;ПЗПІи-24-1, Кошкін А. О.: Пз (38) - ПЗПІ-24-5, Гольдінер Д. І.: Пз (38) - ПЗПІ-24-6, Рибалко А. П.: Пз (38) - ПЗПІ-24-7, Рибалко А. П.:
ВМанг	Вища математика (англ.) : Лк (40) - ПЗПІ-24-1;ПЗПІ-24-3;ПЗПІ-24-2, Ламтюгова С. М.: Пз (38) - ПЗПІ-24-1, Ламтюгова С. М.: Пз (38) - ПЗПІ-24-2, Пархоменко В. Г.: Пз (38) - ПЗПІ-24-3, Пархоменко В. Г.:
ГтГм	Гіпертекст та гіпермедіа : Лк (16) - ПЗПІ-24-1;ПЗПІ-24-3;ПЗПІ-24-2, Єрохін А. Л.: Лк (16) - ПЗПІ-24-4;ПЗПІ-24-5;ПЗПІ-24-6;ПЗПІ-24-7;ПЗПІи-24-1, Груздо І. В.: Пз (4) - ПЗПІ-24-1, Зибіна К. В.: Пз (4) - ПЗПІ-24-2, Зибіна К. В.: Пз (4) - ПЗПІ-24-3, Зибіна К. В.: Пз (4) - ПЗПІ-24-4;ПЗПІи-24-1, Побіженко І. О.: Пз (4) - ПЗПІ-24-5, Побіженко І. О.: Пз (4) - ПЗПІ-24-6, Груздо І. В.: Пз (4) - ПЗПІ-24-7, Груздо І. В.: Лб (16) - ПЗПІ-24-1, Зибіна К. В.: Лб (16) - ПЗПІ-24-2, Зибіна К. В.: Лб (16) - ПЗПІ-24-3, Зибіна К. В.: Лб (16) - ПЗПІ-24-4;ПЗПІи-24-1, Побіженко І. О.: Лб (16) - ПЗПІ-24-5, Побіженко І. О.: Лб (16) - ПЗПІ-24-6, Груздо І. В.: Лб (16) - ПЗПІ-24-7, Груздо І. В.:
ІМ	Іноземна мова : Пз (50) - ПЗПІ-24-1, Сергієнко Н. О., Буданова І. О.: Пз (50) - ПЗПІ-24-2, Умяров К. Т.: Пз (50) - ПЗПІ-24-3, Сизонова С. М.: Пз (50) - ПЗПІ-24-4, Буданова І. О., Сергієнко Н. О.: Пз (50) - ПЗПІ-24-5, Сергієнко Н. О., Сторчак О. Г.: Пз (50) - ПЗПІ-24-7, Буданова І. О., Тер-Ованесьян В. Г.:
ІМ1п	Іноземна мова 1підгрупа : Пз (50) - ПЗПІ-24-6, Архипова В. 0.:
ІМ2п	Іноземна мова 2 підгрупа : Пз (50) - ПЗПІ-24-6, Савченко О. О.:
ООПро	Об'єктно-орієнтоване програмування : Лк (24) - ПЗПІ-24-1;ПЗПІ-24-3;ПЗПІ-24-2, Бондарєв В. М.: Лк (24) - ПЗПІ-24-4;ПЗПІ-24-5;ПЗПІ-24-6;ПЗПІ-24-7;ПЗПІи-24-1, Бондарєв В. М.: Пз (12) - ПЗПІ-24-1, Бондарєв В. М.: Пз (12) - ПЗПІ-24-2, Черепанова Ю. Ю.: Пз (12) - ПЗПІ-24-3, Ляпота В. М.: Пз (12) - ПЗПІ-24-4;ПЗПІи-24-1, Черепанова Ю. Ю.: Пз (12) - ПЗПІ-24-5, Черепанова Ю. Ю.: Пз (12) - ПЗПІ-24-6, Бондарєв В. М.: Пз (12) - ПЗПІ-24-7, Черепанова Ю. Ю.: Лб (16) - ПЗПІ-24-1, Черепанова Ю. Ю.: Лб (16) - ПЗПІ-24-2, Черепанова Ю. Ю.: Лб (16) - ПЗПІ-24-3, Ляпота В. М.: Лб (16) - ПЗПІ-24-4;ПЗПІи-24-1, Черепанова Ю. Ю.: Лб (16) - ПЗПІ-24-5, Черепанова Ю. Ю.: Лб (16) - ПЗПІ-24-6, Черепанова Ю. Ю.: Лб (16) - ПЗПІ-24-7, Черепанова Ю. Ю.:
ОП	Основи права : Лк (10) - ПЗПІ-24-1;ПЗПІ-24-3;ПЗПІ-24-2, Турута О. В.: Лк (10) - ПЗПІ-24-4;ПЗПІ-24-5;ПЗПІ-24-6;ПЗПІ-24-7;ПЗПІи-24-1, Россіхін В. В.: Пз (10) - ПЗПІ-24-1, Омаров А. М.: Пз (10) - ПЗПІ-24-2, Омаров А. М.: Пз (10) - ПЗПІ-24-3, Омаров А. М.: Пз (10) - ПЗПІ-24-4;ПЗПІи-24-1, Омаров А. М.: Пз (10) - ПЗПІ-24-5, Омаров А. М.: Пз (10) - ПЗПІ-24-6, Омаров А. М.: Пз (10) - ПЗПІ-24-7, Омаров А. М.:
ОПІ	Основи програмної інженерії : Лк (16) - ПЗПІ-24-1;ПЗПІ-24-3;ПЗПІ-24-2, Голян В. В.: Лк (16) - ПЗПІ-24-4;ПЗПІ-24-5;ПЗПІ-24-6;ПЗПІ-24-7;ПЗПІи-24-1, Голян В. В.: Пз (4) - ПЗПІ-24-1, Голян В. В.: Пз (4) - ПЗПІ-24-2, Голян В. В.: Пз (4) - ПЗПІ-24-3, Голян В. В.: Пз (4) - ПЗПІ-24-4;ПЗПІи-24-1, Голян В. В.: Пз (4) - ПЗПІ-24-5, Голян В. В.: Пз (4) - ПЗПІ-24-6, Голян В. В.: Пз (4) - ПЗПІ-24-7, Голян В. В.: Лб (16) - ПЗПІ-24-1, Голян В. В.: Лб (16) - ПЗПІ-24-2, Голян В. В.: Лб (16) - ПЗПІ-24-3, Голян В. В.: Лб (16) - ПЗПІ-24-4;ПЗПІи-24-1, Голян В. В.: Лб (16) - ПЗПІ-24-5, Голян В. В.: Лб (16) - ПЗПІ-24-6, Голян В. В.: Лб (16) - ПЗПІ-24-7, Голян В. В.:
